wl,g198_w,g498_w,g170_w,g934_w,g63_w,g454_w,g241_w,g5_w,g546_w,g968_w,g608_y,g654_y,g668_y,g16_y,g942_y,g859_y,g630_y,g674_y,g947_y,g354_y,g518_y,g181_y,g843_y,g26_y,g435_y,g64_y,g398_y,g604_y,g477_y,g227_y,g720_y,g357_y,g162_y,g607_y,g597_y,g65_y,g856_w,g728_w,g414_w,g871_w,g874_w,g741_w,g614_y,g168_y,g661_y
316,4.544594742,3.502333064,2.734919698,3.574783115,3.595408657,3.770040017,7.486903265,5.51261392,3.253838301,6.042390094,5.501462548,5.312376765,5.746927686,5.196428318,5.258712218,5.319005256,5.112105875,7.195940289,5.772264466,5.074572021,5.119598648,5.111523717,5.470115479,5.312925025,5.444990485,5.524631851,5.811828647,5.669952863,5.667615301,5.356209091,5.205122029,5.101498502,5.07619431,9.05719115,5.957575868,5.881831375,6.11598437,5.448823819,5.494044745,5.717208785,5.62153912,5.379006739,3.012904262,8.978660644,5.954813725
317,4.540758318,3.506798593,2.732349241,3.556820183,3.587804504,3.770921729,7.507570879,5.521327794,3.25139561,6.065513965,5.485493914,5.323735202,5.776496918,5.185842748,5.245315549,5.330897133,5.121000654,7.168664257,5.802836477,5.076291283,5.118883653,5.115095308,5.446784254,5.324511364,5.456293132,5.537081368,5.843974348,5.696458816,5.692748105,5.330831956,5.212421601,5.097560624,5.074403764,8.978425544,5.971753364,5.900238171,6.095807556,5.49968127,5.545869876,5.703442029,5.60965094,5.394649182,3.041496664,8.943861527,5.943753085
318,4.53590468,3.510322017,2.729274605,3.538458283,3.57945005,3.770724163,7.527277849,5.529586641,3.248402883,6.087747208,5.469649259,5.335295344,5.806355583,5.176419411,5.233859326,5.342970658,5.130397052,7.14129028,5.833707656,5.078486053,5.118989584,5.119640293,5.424037562,5.336282443,5.467006935,5.548970215,5.876437379,5.723219022,5.718283016,5.307306495,5.2198668,5.094530001,5.073484931,8.900142739,5.985355941,5.917924069,6.077074563,5.55285096,5.599995585,5.689903279,5.597952882,5.412707775,3.06889952,8.909056393,5.932196923
319,4.530077398,3.512937042,2.725711976,3.519726546,3.570361216,3.769458704,7.545998975,5.537381522,3.244893179,6.109101916,5.453968995,5.347079086,5.836556819,5.168140699,5.224319168,5.355248258,5.140285958,7.113828929,5.86493294,5.081158497,5.119914186,5.12516488,5.401908035,5.348260243,5.477156931,5.560311836,5.909275617,5.750280914,5.74425933,5.285596414,5.227471969,5.092409031,5.073443489,8.822370423,5.998384171,5.93489144,6.059618123,5.608136439,5.656228702,5.67666413,5.586507297,5.432978283,3.095104545,8.874288787,5.920150414
320,4.523320044,3.514677373,2.721677543,3.500654102,3.560553923,3.767136739,7.563709059,5.544703497,3.240899557,6.129590182,5.438493531,5.35910832,5.867153764,5.160989006,5.216670694,5.367752358,5.150658263,7.086290776,5.896567266,5.084310781,5.121655203,5.131675274,5.380428307,5.360466744,5.486768157,5.571119675,5.94254694,5.777691925,5.770716339,5.265665424,5.235251453,5.09120011,5.074285118,8.745136285,6.010838629,5.951142655,6.043270969,5.665341256,5.714376057,5.66379618,5.575376538,5.455256472,3.120103452,8.839602257,5.907618734
321,4.515676188,3.515576713,2.717187491,3.481270081,3.550044094,3.763769654,7.580382902,5.551543624,3.236455075,6.149224102,5.423263277,5.371404941,5.898199555,5.154946725,5.210889522,5.380505384,5.161504856,7.058686393,5.928665569,5.08794507,5.124210381,5.139177682,5.359631008,5.372923928,5.495865648,5.581407174,5.976309225,5.805499491,5.797693339,5.247477233,5.243219594,5.090905636,5.076015495,8.668468013,6.022719885,5.966680083,6.027865834,5.724268963,5.774244482,5.651371024,5.564622958,5.479338107,3.143887955,8.805040348,5.894607061
322,4.507189401,3.515668767,2.712258007,3.461603614,3.538847648,3.759368835,7.595995305,5.557892965,3.231592792,6.168015767,5.408318645,5.383990841,5.929747329,5.149996249,5.206951272,5.393529761,5.172816628,7.031026352,5.961282786,5.09206353,5.127577463,5.147678313,5.339548769,5.385653775,5.504474441,5.591187777,6.01062035,5.833751044,5.825229623,5.230995548,5.251390737,5.091528004,5.0786403,8.592393298,6.034028513,5.981506097,6.01323545,5.78472311,5.835640808,5.639460259,5.554308908,5.505018953,3.166449767,8.770646604,5.881120568
323,4.497903253,3.514987241,2.706905278,3.441683832,3.526980507,3.753945669,7.610521068,5.563742579,3.226345768,6.185977273,5.393700043,5.396887915,5.961850224,5.146119972,5.204831563,5.406847916,5.184584468,7.003321225,5.994473854,5.096668325,5.131754196,5.157183371,5.320214224,5.398678267,5.512619573,5.600474928,6.045538193,5.862494019,5.853364486,5.21618408,5.259779224,5.093069612,5.082165211,8.516939826,6.044765086,5.995623065,5.99921255,5.846507247,5.898371865,5.628135482,5.544496741,5.532094775,3.187780604,8.736464573,5.867164432
324,4.487861315,3.513565839,2.701145491,3.421539864,3.514458592,3.747511542,7.623934994,5.569083525,3.220747061,6.203120713,5.379447883,5.410118056,5.994561378,5.143300286,5.204506013,5.420482273,5.196799267,6.975581583,6.028293709,5.101761621,5.136738323,5.167699065,5.301660004,5.412019384,5.520326079,5.609282069,6.08112063,5.891775849,5.882137221,5.203006535,5.2683994,5.095532857,5.086595906,8.442135287,6.054930177,6.009033359,5.985629868,5.909424925,5.962244484,5.617468288,5.53524881,5.560361339,3.207872178,8.702537801,5.85274383
325,4.477107159,3.511438266,2.694994833,3.401200842,3.501297825,3.740077841,7.636211882,5.573906865,3.214829731,6.21945818,5.365602575,5.423703157,6.027933927,5.141519585,5.205950243,5.43445526,5.209451914,6.947817998,6.062797287,5.107345583,5.142527589,5.1792316,5.28391874,5.425699108,5.527618996,5.617622644,6.11742554,5.921643969,5.911587124,5.191426624,5.277265608,5.098920135,5.091938065,8.368007369,6.064524358,6.021739348,5.972320135,5.973279693,6.027065495,5.607530275,5.526627466,5.589614409,3.226716204,8.668909831,5.837863937
